Barrio_Localidad,CANTIDAD_HURTOS,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,TP27_PERSO,TP9_1_USO,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,Num_Colegios,Num_Cai,Distancia_CAI
SANTA LIBRADA LOS TEJARES-USME,18,4,1,0,2,2,5,4,1885.0,641.0,0.0,4.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.8648735737604
SANTA LIBRADA SALAZAR SALAZAR-USME,3,2,1,0,0,0,0,0,772.0,229.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.1704246316327
SANTA LIBRADA SECTOR LA PEÑA-USME,3,0,1,0,0,2,0,0,1430.0,442.0,1.0,8.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.5776777334136
SANTA LIBRADA SECTOR SAN FRANCISCO-USME,1,0,0,0,1,0,0,0,277.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.3648801045701
SANTA LIBRADA-USME,164,18,29,21,24,19,29,24,4090.0,1374.0,7.0,174.0,19.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1162.9113383642268
SANTA LUCIA-BOSA,4,2,0,1,0,1,0,0,878.0,308.0,5.0,13.0,5.0,0.0,4.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,618.9783527692055
SANTA LUCIA-RAFAEL URIBE,177,9,30,22,37,29,20,30,8964.0,2765.0,64.0,343.0,169.0,0.0,7.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,617.1466435994663
SANTA MARGARITA-SUBA,9,0,0,1,2,2,3,1,1890.0,963.0,1.0,17.0,159.0,0.0,2.0,0.0,8.0,0.0,0.0,22.0,1.0,0.0,0.0,620.0661593156865
SANTA MARIA DEL LAGO-ENGATIVÁ,157,10,27,20,25,25,28,22,1553.0,586.0,15.0,26.0,41.0,0.0,5.0,1.0,2.0,0.0,0.0,12.0,0.0,1.0,1.0,382.93239766125333
SANTA MARIA-KENNEDY,2,0,1,1,0,0,0,0,277.0,89.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.6050541165748
SANTA MARIA-USAQUÉN,1,0,1,0,0,0,0,0,459.0,181.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.8434770275614
SANTA MARTA II SECTOR-USME,9,0,1,3,2,1,1,1,355.0,122.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0059848868602
SANTA MARTA-BOSA,10,1,2,1,2,0,1,3,10.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,958.3499296088854
SANTA MARTHA-USME,23,2,3,4,3,3,3,5,3154.0,975.0,0.0,43.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,938.8414216759636
SANTA MATILDE II SECTOR-PUENTE ARANDA,9,3,0,1,1,1,0,3,4893.0,1517.0,4.0,75.0,13.0,0.0,6.0,1.0,3.0,0.0,0.0,5.0,0.0,3.0,1.0,330.02138111754306
SANTA MATILDE-PUENTE ARANDA,90,8,18,14,13,13,11,13,3686.0,1284.0,3.0,6.0,2.0,0.0,6.0,0.0,3.0,0.0,0.0,14.0,1.0,4.0,0.0,186.77378850301633
SANTA MONICA-ENGATIVÁ,35,2,4,4,2,7,8,8,3825.0,1423.0,0.0,13.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,992.0548800149691
SANTA MONICA-USAQUÉN,8,2,0,4,0,1,1,0,2328.0,746.0,1.0,15.0,12.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,377.5192742456216
SANTA PAZ - SANTA ELVIRA-KENNEDY,3,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.1437231699626
