Barrio_Localidad,CANTIDAD_HURTOS,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,TP27_PERSO,TP9_1_USO,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,Num_Colegios,Num_Cai,Distancia_CAI
EL LISTON-LOS MÁRTIRES,177,15,23,25,30,22,33,29,1945.0,855.0,82.0,147.0,15.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,438.0697402664436
EL LUJAN-ENGATIVÁ,38,3,5,4,6,8,3,9,3889.0,1335.0,4.0,16.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,386.4333602365547
EL MINUTO DE MARIA-CIUDAD BOLÍVAR,2,0,0,0,0,0,1,1,1228.0,377.0,18.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,158.4837221276639
EL MIRADOR SUR I Y II-RAFAEL URIBE,8,1,0,1,0,3,1,2,530.0,154.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,444.1794044092673
EL MIRADOR-CIUDAD BOLÍVAR,16,4,1,3,2,1,1,4,4753.0,1533.0,2.0,104.0,17.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,408.0724855127156
EL MIRADOR-ENGATIVÁ,4,0,1,1,2,0,0,0,169.0,53.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.3614285022256
EL MIRADOR-SANTA FE,3,0,1,0,0,1,1,0,1534.0,337.0,0.0,10.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,431.90764641432025
EL MOCHUELO ORIENTAL-CIUDAD BOLÍVAR,20,6,2,4,2,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.2645951584627
EL MOCHUELO ORIENTAL-USME,1,0,0,0,0,0,0,1,26.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1099.5048130567363
EL MOLINO-SUBA,3,0,0,1,0,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4079.7982631008977
EL MORTIÑO-ENGATIVÁ,2,0,1,0,0,0,0,1,3536.0,1120.0,0.0,21.0,11.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,372.40191465439835
EL MOTORISTA-BOSA,2,1,0,0,1,0,0,0,426.0,120.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,571.1116160441023
EL MUELLE I-ENGATIVÁ,152,13,27,22,20,18,27,25,4974.0,1561.0,7.0,54.0,26.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,683.018456775111
EL MUELLE II-ENGATIVÁ,4,0,1,0,0,1,2,0,5126.0,1623.0,3.0,45.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,831.979634091623
EL NEVADO-USME,4,0,1,0,2,1,0,0,1456.0,460.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1238.482636768531
EL NOGAL I-SUBA,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.7846684220297
EL NOGAL-CHAPINERO,128,10,21,13,21,17,18,28,4899.0,2581.0,0.0,104.0,106.0,0.0,10.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,382.03532792521884
EL NOGAL-SUBA,44,2,7,3,7,9,11,5,46.0,11.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.6182046342942
EL NUEVO PORTAL-USME,9,1,1,0,2,2,2,1,1369.0,463.0,0.0,23.0,7.0,0.0,1.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,302.4336132442
EL OASIS DEL SUR-SAN CRISTÓBAL,2,0,0,0,0,2,0,0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800.6874521474385
EL OLIVO-KENNEDY,6,0,1,0,2,2,0,1,2640.0,798.0,7.0,50.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,627.9499095146894
EL OTOÑO-USAQUÉN,2,0,0,0,0,1,1,0,941.0,283.0,5.0,15.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,783.5297596856839
EL PALMAR I Y II-ENGATIVÁ,1,1,0,0,0,0,0,0,2265.0,710.0,0.0,35.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1309.689911280844
EL PALMAR IV-ENGATIVÁ,1,0,0,0,0,0,1,0,372.0,122.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.67151644805
EL PALMAR-BOSA,5,0,2,0,0,1,0,2,3836.0,1331.0,2.0,40.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,790.5345322561709
EL PARAISO SUR ORIENTAL I SECTOR-SAN CRISTÓBAL,11,1,0,3,2,1,4,0,218.0,55.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,612.9102202272985
EL PARAISO-BOSA,8,1,1,2,3,0,0,1,3675.0,967.0,8.0,83.0,16.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,737.7792428670892
EL PARAISO-CHAPINERO,10,2,3,0,0,0,1,4,301.0,99.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.3208512430037
EL PARAISO-CIUDAD BOLÍVAR,84,10,16,10,8,9,10,21,8400.0,2639.0,3.0,16.0,3.0,0.0,3.0,27.0,5.0,0.0,0.0,6.0,0.0,2.0,1.0,271.2694413054228
EL PARAISO-FONTIBÓN,3,0,0,0,1,2,0,0,514.0,174.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.2123815201564
EL PARAISO-KENNEDY,15,1,4,2,2,2,1,3,1736.0,598.0,0.0,53.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,967.5736290080085
EL PARAISO-SUBA,3,0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.7601523656076
EL PARAISO-USME,2,0,1,0,1,0,0,0,2454.0,823.0,0.0,3.0,2.0,0.0,1.0,11.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,943.2140837089486
EL PARQUE-KENNEDY,1,0,1,0,0,0,0,0,3085.0,901.0,5.0,62.0,12.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,553.862773939237
EL PASEO-ENGATIVÁ,8,0,1,1,1,1,2,2,1388.0,386.0,0.0,4.0,33.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,860.7219310884304
EL PEDREGAL-USME,5,0,1,1,1,1,1,0,24.0,17.0,0.0,1.0,0.0,1.0,0.0,155.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,915.7163481869601
EL PEÑON DEL CORTIJO-CIUDAD BOLÍVAR,18,1,3,2,2,4,1,5,4853.0,1486.0,0.0,17.0,5.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1671.9733870553778
EL PINAR DE SANTA BARBARA-USAQUÉN,1,0,0,0,1,0,0,0,164.0,57.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.1723117725138
EL PINAR DE SUBA II-SUBA,132,21,20,12,12,22,26,19,665.0,231.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,408.477399135228
EL PINAR-SUBA,76,10,13,9,10,14,10,10,4860.0,1830.0,1.0,37.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.3694858770798
EL PINO-SUBA,64,6,13,9,11,6,9,10,393.0,129.0,3.0,42.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.6132997871956
EL PITE-USAQUÉN,1,0,0,0,0,0,0,1,174.0,58.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.1189624040153
EL PLAYON-RAFAEL URIBE,12,0,2,4,1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,833.1838212209253
EL POA-SUBA,197,14,31,34,29,27,34,28,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.0250367768954
EL PORTAL DE LAS MERCEDES-SUBA,4,0,1,1,0,2,0,0,2334.0,732.0,2.0,40.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1575.1241120741665
EL PORTAL DE PATIO BONITO-KENNEDY,40,2,7,9,2,6,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.03741182453365
EL PORTAL DEL RIO-ENGATIVÁ,4,0,0,0,0,2,2,0,2039.0,735.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.756633483942
EL PORTAL I Y II SECTOR-BOSA,2,0,1,0,0,0,1,0,1012.0,303.0,0.0,41.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,208.24027573747497
EL PORTAL II SECTOR-RAFAEL URIBE,2,0,1,0,0,1,0,0,3719.0,1065.0,0.0,19.0,7.0,0.0,1.0,3.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,740.2546531949451
EL PORTAL-FONTIBÓN,4,1,2,0,0,0,1,0,7.0,5.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.3935811265495
EL PORTAL-RAFAEL URIBE,7,0,1,0,3,1,1,1,3485.0,1083.0,1.0,66.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,569.8609535752981
EL PORVENIR II SECTOR-KENNEDY,1,0,0,1,0,0,0,0,1259.0,393.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.4552792195813
EL PORVENIR II SECTOR-USME,15,0,1,2,5,1,4,2,1830.0,530.0,0.0,6.0,7.0,0.0,1.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,499.9913915377696
EL PORVENIR SAN LUIS-BOSA,4,0,0,0,1,0,1,2,1084.0,365.0,1.0,31.0,19.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,951.0659762026805
EL PORVENIR SECTOR BRASIL-BOSA,8,2,0,0,1,2,2,1,167.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0559466483104
EL PORVENIR SECTOR INDUCAS-BOSA,4,0,1,2,0,0,1,0,1489.0,309.0,5.0,19.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.7779021257649
EL PORVENIR ZONA C-CIUDAD BOLÍVAR,3,0,1,1,0,0,0,1,172.0,55.0,24.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4240840386706
EL PORVENIR-KENNEDY,5,0,2,1,0,0,1,1,368.0,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.092740851203
EL PORVENIR-SUBA,2,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4179.077331797619
EL PORVENIR-USME,141,13,22,23,19,18,17,29,562.0,160.0,0.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,603.9973703445861
EL PROGRESO II SECTOR-BOSA,1,0,0,0,1,0,0,0,178.0,62.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.1045082175443
EL PROGRESO-BOSA,5,1,0,2,0,1,1,0,884.0,302.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,624.8563460890334
EL PROGRESO-LOS MÁRTIRES,48,4,3,7,10,10,5,9,4755.0,1678.0,76.0,135.0,47.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,842.7689050830256
EL PROGRESO-SUBA,7,0,0,3,1,1,0,2,181.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.00262114687
EL RAMAJAL-SAN CRISTÓBAL,14,2,1,3,2,1,3,2,3493.0,874.0,2.0,19.0,14.0,0.0,8.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,208.9951214046925
EL REAL-ENGATIVÁ,31,0,5,2,6,6,4,8,3354.0,1186.0,48.0,32.0,73.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,585.2961131347806
EL RECODO REPUBLICA DE CANADA-SAN CRISTÓBAL,1,0,0,0,1,0,0,0,49.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,123.7267358966224
EL RECUERDO SAN BERNARDINO-BOSA,1,0,0,0,0,0,0,1,616.0,160.0,1.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.2561805342101
EL RECUERDO SAN JORGE ALTO-RAFAEL URIBE,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0262136201029
EL RECUERDO SUR-CIUDAD BOLÍVAR,1,0,0,0,0,0,1,0,299.0,85.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.2390951519285
EL RECUERDO-BOSA,11,1,5,1,0,3,1,0,8379.0,2072.0,30.0,99.0,31.0,1.0,8.0,27.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,1081.9823989647377
EL RECUERDO-TEUSAQUILLO,105,11,13,13,17,16,20,15,5264.0,2459.0,10.0,57.0,121.0,0.0,1.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1344.2249863265054
EL REFUGIO DE SAN ANTONIO-USAQUÉN,1,0,0,0,0,0,1,0,999.0,337.0,2.0,11.0,18.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,452.3594809554718
EL REFUGIO LA ZELFITA-FONTIBÓN,11,3,4,1,1,1,1,0,10089.0,3416.0,26.0,154.0,150.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,989.2432095582215
EL REFUGIO-CHAPINERO,41,6,4,7,5,4,8,7,1594.0,795.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.084845907076
EL REFUGIO-USME,4,0,3,1,0,0,0,0,166.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.2126016806227
EL REMANSO-BOSA,21,4,4,4,1,2,3,3,899.0,261.0,2.0,4.0,2.0,1.0,3.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,651.2184876409209
EL RETIRO-CHAPINERO,486,98,49,16,36,33,162,92,1278.0,696.0,0.0,214.0,52.0,1.0,1.0,4.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,446.5099110557508
EL RINCON DE BOSA-BOSA,1,0,0,0,0,0,1,0,764.0,204.0,1.0,17.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,863.404119062706
EL RINCON DE IBERIA-SUBA,20,2,1,7,2,3,2,3,797.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,591.94119824513
EL RINCON DE LAS VILLAS-SUBA,3,1,0,0,1,0,0,1,231.0,93.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.69634829703267
EL RINCON DE LOS ANGELES-KENNEDY,3,0,0,1,1,1,0,0,6921.0,2359.0,3.0,73.0,45.0,0.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,4.0,0.0,861.6130206933028
EL ROSAL-CIUDAD BOLÍVAR,1,0,0,0,0,0,0,1,1248.0,382.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.6223370170185
EL ROSAL-RAFAEL URIBE,6,1,1,0,1,1,0,2,215.0,77.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,944.3537971956126
EL ROSARIO III-KENNEDY,1,0,0,0,0,0,1,0,384.0,138.0,1.0,18.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,836.3131747657461
EL ROSARIO-BARRIOS UNIDOS,26,1,8,2,2,1,8,4,1298.0,526.0,3.0,50.0,46.0,0.0,8.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,560.4723730159196
EL ROSARIO-KENNEDY,5,1,0,0,0,1,3,0,2347.0,743.0,4.0,60.0,11.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,788.9457972721904
EL RUBI-BOSA,2,1,0,1,0,0,0,0,77.0,22.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.9392059682414
EL RUBI-FONTIBÓN,8,3,0,0,0,3,2,0,874.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.2494228118319
EL SALITRE PARTE ALTA-SUBA,2,0,0,0,0,1,1,0,506.0,164.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.9497278729891
EL SALITRE-TEUSAQUILLO,80,10,13,8,13,11,10,15,2398.0,918.0,0.0,35.0,78.0,0.0,4.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,871.9490303343147
EL SAUCEDAL-KENNEDY,2,0,1,0,0,0,1,0,916.0,345.0,11.0,43.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.74664244206616
EL SOCORRO II SECTOR-RAFAEL URIBE,1,0,0,0,0,0,1,0,1493.0,503.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,514.9990436073211
EL SOCORRO III SECTOR-RAFAEL URIBE,3,0,0,0,0,1,0,2,277.0,93.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.47750996272606
EL SOCORRO-RAFAEL URIBE,25,2,6,1,4,6,2,4,1057.0,326.0,1.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.3524973284971
EL SOL-PUENTE ARANDA,11,1,1,0,2,5,2,0,2052.0,647.0,5.0,11.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,869.6558416250123
EL TEJAR-BOSA,12,0,1,3,1,4,0,3,211.0,90.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.711272747479
EL TESORITO-CIUDAD BOLÍVAR,17,1,2,5,1,5,1,2,2036.0,597.0,0.0,2.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,490.66643902354576
EL TESORO-CIUDAD BOLÍVAR,58,7,5,10,10,8,11,7,142.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,543.8128814520306
EL TINTAL A.S.D.-FONTIBÓN,39,4,3,7,2,10,8,5,20971.0,8130.0,5.0,36.0,79.0,2.0,2.0,11.0,13.0,27.0,0.0,1.0,1.0,1.0,1.0,489.2706475258995
EL TINTAL CENTRAL-FONTIBÓN,79,7,20,11,10,12,11,8,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,549.1704185410184
EL TINTAL-KENNEDY,364,30,66,55,53,66,43,51,1725.0,622.0,82.0,94.0,51.0,1.0,3.0,41.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,1674.9270171851995
EL TOCHE-BOSA,4,0,0,3,0,1,0,0,759.0,221.0,3.0,28.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,897.8470802015134
EL TRIANGULO-FONTIBÓN,1,0,0,0,0,1,0,0,399.0,123.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.2050189232693
EL TRIANGULO-USME,4,0,1,0,1,1,1,0,343.0,109.0,0.0,7.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,239.37835845899198
EL TRIUNFO DE LAS AMERICAS-KENNEDY,2,0,0,0,0,1,1,0,728.0,289.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.6973024211375
EL TRIUNFO SUR-CIUDAD BOLÍVAR,2,1,0,0,1,0,0,0,1376.0,466.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.1040276938305
EL TRIUNFO SUR-RAFAEL URIBE,5,1,0,0,1,1,2,0,242.0,93.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.5117078858814
EL TRIUNFO-RAFAEL URIBE,2,0,0,1,1,0,0,0,703.0,214.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,661.1194814344352
EL TRIUNFO-SANTA FE,6,0,2,0,0,0,1,3,3097.0,944.0,0.0,12.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,461.49324654233266
EL TUNO-USME,1,0,0,0,1,0,0,0,790.0,290.0,0.0,3.0,2.0,0.0,1.0,27.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,675.2519056409577
EL UVAL II SECTOR-USME,4,1,1,1,0,0,0,1,893.0,350.0,11.0,19.0,14.0,0.0,1.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,601.2669732500453
EL UVAL-USME,25,4,2,2,5,4,6,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,730.0203020962088
EL VERBENAL III SECTOR-USAQUÉN,8,1,0,5,1,0,1,0,582.0,199.0,3.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.52970438194586
EL VERBENAL-USAQUÉN,145,13,23,15,20,29,26,19,1460.0,645.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.8156545754645
EL VERGEL OCCIDENTAL-KENNEDY,20,2,2,2,3,6,4,1,494.0,292.0,38.0,51.0,15.0,0.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1429.9707145983907
EL VERGEL-FONTIBÓN,12,0,1,3,4,1,2,1,0.0,0.0,3.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1046.9478762987815
EL VERGEL-KENNEDY,44,5,6,8,9,6,4,6,2687.0,910.0,2.0,17.0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.1868590667625
EL VERGEL-LOS MÁRTIRES,47,6,6,7,1,8,5,14,3971.0,1562.0,30.0,199.0,104.0,0.0,6.0,1.0,4.0,0.0,0.0,4.0,0.0,3.0,0.0,546.3031542549517
EL VIRREY ULTIMA ETAPA-USME,5,1,0,0,0,0,3,1,3850.0,1202.0,3.0,19.0,20.0,0.0,2.0,23.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,408.2468146544011
EL VIRREY-USME,182,12,25,27,25,32,28,33,11634.0,3719.0,6.0,127.0,43.0,0.0,7.0,6.0,12.0,0.0,0.0,3.0,0.0,3.0,1.0,373.90407289276476
EMAUS-CHAPINERO,31,4,4,5,3,3,5,7,1273.0,713.0,5.0,93.0,72.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,240.49477623668201
ENGATIVA ZONA URBANA-ENGATIVÁ,109,10,17,10,12,26,14,20,3143.0,992.0,18.0,69.0,56.0,0.0,13.0,3.0,1.0,0.0,0.0,12.0,0.0,6.0,0.0,1729.2613344304086
ESCOCIA-BOSA,71,9,12,5,12,11,10,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.7099164336997
ESCUELA DE CARABINEROS-SUBA,4,1,0,0,2,0,1,0,375.0,138.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575.4711174269823
ESCUELA MILITAR-BARRIOS UNIDOS,40,1,5,9,3,11,5,6,16.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.6783651517002
ESPARTILLAL-CHAPINERO,109,20,11,8,10,16,23,21,1007.0,553.0,1.0,85.0,140.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,269.2784709635133
ESPINOS I-CIUDAD BOLÍVAR,6,2,0,0,1,2,1,0,2568.0,692.0,0.0,13.0,8.0,0.0,3.0,33.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,503.50707953722184
ESTACION CENTRAL-PUENTE ARANDA,87,5,10,12,14,18,12,16,2162.0,620.0,171.0,15.0,30.0,0.0,9.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,872.5386979623075
ESTRELLA DEL NORTE-USAQUÉN,46,4,6,7,5,9,5,10,2645.0,1221.0,1.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,741.6101078153762
ESTRELLA-TEUSAQUILLO,28,1,1,6,7,6,0,7,1189.0,632.0,7.0,92.0,40.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.7605125830613
FATIMA-TUNJUELITO,165,17,18,18,23,22,27,40,14909.0,5333.0,18.0,126.0,82.0,2.0,6.0,2.0,0.0,0.0,2.0,12.0,1.0,8.0,1.0,289.33574596647793
