Barrio_Localidad,Cantidad,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,Coordenadas
MONTECARLO-SAN CRISTÓBAL,4,1,1,0,0,0,1,1,"[[[-74.07023179200002, 4.569778519999999], [-74.070371819, 4.569845573999998], [-74.07048229899999, 4.569902313], [-74.070486141, 4.569904581000003], [-74.07049441200002, 4.569888573000014], [-74.070569696, 4.56973287300002], [-74.07063334499998, 4.5697655270000155], [-74.070675343, 4.569679102999998], [-74.07070054100001, 4.569623684000021], [-74.07068917200002, 4.5696161320000215], [-74.07077141500002, 4.569436940999992], [-74.07081767599999, 4.569346700999972], [-74.070895807, 4.569201634000023], [-74.07090376999997, 4.569186849999994], [-74.070937179, 4.569137864000026], [-74.071042551, 4.568917419999991], [-74.07122117, 4.568544858999985], [-74.07128028199998, 4.568415945000026], [-74.071343227, 4.568458495000015], [-74.07145370500001, 4.568537149999997], [-74.071515369, 4.568555205999985], [-74.07184553399998, 4.568633885999986], [-74.07201382699998, 4.568679026999973], [-74.072021533, 4.568698365999978], [-74.07208060800002, 4.568890466000027], [-74.07211656800001, 4.56900392], [-74.072135833, 4.569055490999971], [-74.07213582899999, 4.5690915889999815], [-74.072212906, 4.569145744000024], [-74.07225273400002, 4.5691315669999994], [-74.072254015, 4.569166376999987], [-74.072263007, 4.569177980000006], [-74.072282277, 4.569185716999982], [-74.072376056, 4.569238585999983], [-74.07243386800002, 4.569238593000022], [-74.072427446, 4.569221831999982], [-74.07239018899998, 4.569219249000013], [-74.07233623600001, 4.569175410000013], [-74.07232982, 4.569114817000013], [-74.07236512200001, 4.569107132999988], [-74.07244679299998, 4.569097124999984], [-74.07257354500001, 4.569084667000026], [-74.072644325, 4.569079885999997], [-74.07278985599999, 4.569113420999997], [-74.07302127600002, 4.569168513000022], [-74.07309125900002, 4.569176501000015], [-74.07317794099998, 4.569199653999987], [-74.07325428500002, 4.569229989000007], [-74.07337117999998, 4.569321779000006], [-74.07343877400001, 4.569366478000006], [-74.07345944899998, 4.569388027000002], [-74.07353341499999, 4.569438476000016], [-74.07347283399997, 4.569596483999987], [-74.073359788, 4.569539747000021], [-74.07331133000002, 4.569600517000026], [-74.07336784400002, 4.56970991899999], [-74.07341629400003, 4.569722078999973], [-74.073432448, 4.569693719999975], [-74.07359798499999, 4.569718048000027], [-74.07353739199999, 4.569981401000006], [-74.073472794, 4.569953032], [-74.07345260400001, 4.569973288000028], [-74.073407605, 4.569979998999997], [-74.07332666000002, 4.570049605999997], [-74.07325085100001, 4.570137263999981], [-74.07319302799999, 4.570237815999973], [-74.07315319600002, 4.5702855129999875], [-74.07309666100002, 4.5703473890000055], [-74.07304655299998, 4.570380903], [-74.072982314, 4.570404101000008], [-74.07293991699999, 4.570413121000001], [-74.07289366499998, 4.570433744000013], [-74.07284484600001, 4.570427291999976], [-74.072808877, 4.570406660000003], [-74.07275106600002, 4.570387315999994], [-74.07271637899998, 4.570383444000015], [-74.07263158500001, 4.570396325999979], [-74.07259818300003, 4.570397612000022], [-74.07257377299999, 4.570393742000021], [-74.07236050300003, 4.57045044199998], [-74.07223074199999, 4.5704826589999925], [-74.07187613899998, 4.570647636999979], [-74.071824747, 4.57067986200002], [-74.07173609699998, 4.57071337100001], [-74.07166929099998, 4.570717231000003], [-74.071624326, 4.570713357999977], [-74.071571656, 4.570683700000017], [-74.07141107899997, 4.570550893000017], [-74.07127619599999, 4.570440006000012], [-74.07112332100002, 4.570378106000021], [-74.071025685, 4.570365202999994], [-74.07079187199997, 4.570299424999973], [-74.07057219299998, 4.570227203999991], [-74.07036279200003, 4.570142092000026], [-74.07008914800002, 4.570130457999994], [-74.070155973, 4.569961578999993], [-74.07023179200002, 4.569778519999999]]]"
MONTERREY-CIUDAD BOLÍVAR,1,0,0,1,0,0,0,0,"[[[-74.13279657200002, 4.539424772000018], [-74.132534094, 4.539088821000007], [-74.13251270199999, 4.539071730999978], [-74.13257512400003, 4.5389984280000135], [-74.13284958600002, 4.5385768290000215], [-74.13311532199998, 4.538129383000011], [-74.133106812, 4.53795728099999], [-74.13287535900002, 4.537983121000024], [-74.13280667800001, 4.5379315659999975], [-74.132909579, 4.537312011999972], [-74.13346875500002, 4.537235969999983], [-74.13361716700001, 4.537258289000021], [-74.13428674599999, 4.537579986000025], [-74.134023265, 4.5379366839999875], [-74.133867737, 4.538149106999981], [-74.13376316099999, 4.538279400000021], [-74.13538731199998, 4.539539671], [-74.13502734999997, 4.539893332000019], [-74.13458998200002, 4.540142822000007], [-74.13412700100002, 4.540263218999996], [-74.13368977900001, 4.540271894], [-74.13342399499999, 4.539901903999975], [-74.13320957899998, 4.539609315999996], [-74.132891857, 4.539376822999997], [-74.13284196299998, 4.539340240000001], [-74.13279657200002, 4.539424772000018]]]"
MONTERREY-KENNEDY,1,0,0,0,1,0,0,0,"[[[-74.14711712000002, 4.643382633999976], [-74.147183773, 4.643222605000005], [-74.14747587699998, 4.642645687000026], [-74.14758041800002, 4.642454408999981], [-74.147620389, 4.642491430999996], [-74.14770544700002, 4.642582344999993], [-74.148327569, 4.64324729499998], [-74.14853114700003, 4.6434635830000275], [-74.14879799699997, 4.643747091000022], [-74.14883853600003, 4.643792299999972], [-74.148801005, 4.643821097], [-74.14895112900001, 4.643991669000001], [-74.14918514599998, 4.644257493999987], [-74.14956487199998, 4.644676170000025], [-74.15000199899998, 4.645159085999978], [-74.15031770399997, 4.645531242000004], [-74.15047276600001, 4.645746031999976], [-74.14987717600002, 4.646283200000027], [-74.14964960100002, 4.6460954350000065], [-74.14907345099999, 4.645469871999978], [-74.14899605800002, 4.645418101000018], [-74.14852310100002, 4.644891764000021], [-74.14817053399997, 4.644512113000018], [-74.14755568999999, 4.643852035000009], [-74.14711712000002, 4.643382633999976]]]"
MONTEVIDEO-FONTIBÓN,98,5,16,17,16,19,9,16,"[[[-74.11670912300002, 4.649681053999984], [-74.115162672, 4.648411566999982], [-74.115130926, 4.648450689000014], [-74.11443148799998, 4.649312715999997], [-74.11442149300001, 4.649325992000001], [-74.11441543900003, 4.649333689999991], [-74.11440818900002, 4.649342092999972], [-74.11437848600002, 4.649371540000004], [-74.11395016099999, 4.6489323979999995], [-74.11296493700002, 4.647828542000013], [-74.11295930699998, 4.647822892000022], [-74.11295649200002, 4.64781964399998], [-74.11173085399997, 4.646542187000022], [-74.11052042300003, 4.645279559000016], [-74.11039854699999, 4.645169317000011], [-74.11039838699998, 4.645169172000009], [-74.11041964399999, 4.645147844999996], [-74.11043319100003, 4.645134488999985], [-74.11044413799999, 4.645123694999995], [-74.11140397100002, 4.644160086999988], [-74.11161016, 4.643953086999999], [-74.11161018500002, 4.643953108000005], [-74.11246484100002, 4.644654469999977], [-74.11296713399997, 4.645094819000007], [-74.11340109100001, 4.645446533999972], [-74.113819003, 4.645786525000005], [-74.11418877400001, 4.646094381000011], [-74.114563755, 4.646400964999998], [-74.11485322499999, 4.646640244000025], [-74.11513101399999, 4.646844070999975], [-74.11586169200001, 4.647443961000021], [-74.11707790600002, 4.645985355999982], [-74.11713330600003, 4.645806477000007], [-74.117213617, 4.645729152000001], [-74.11721840299998, 4.645719477], [-74.11749790800002, 4.645392376000018], [-74.117647621, 4.64520947699998], [-74.11798251900001, 4.644800599999996], [-74.11820817699999, 4.644549202999996], [-74.11855785799997, 4.644124648999991], [-74.11869236500002, 4.643989698999973], [-74.119042535, 4.643590496999991], [-74.11946126100003, 4.643115593999994], [-74.119743508, 4.642797744999995], [-74.12018799399999, 4.642303067999989], [-74.12035903100002, 4.64210809299999], [-74.121882605, 4.643378697999992], [-74.12214401799997, 4.643058445000008], [-74.12362227199998, 4.64427071099999], [-74.12362705700002, 4.644274736999989], [-74.12364394899998, 4.644288437999989], [-74.12022627599998, 4.648461398999984], [-74.118754072, 4.647243123000009], [-74.118708674, 4.647260422999977], [-74.11868256100001, 4.647291423000012], [-74.117827783, 4.648338825999985], [-74.11808030600002, 4.648541024999985], [-74.11807945499999, 4.648670755000011], [-74.11805981700002, 4.648690880999993], [-74.11775992899999, 4.6484407280000255], [-74.11775190600002, 4.648433877000002], [-74.11670912300002, 4.649681053999984]]]"
MONTEVIDEO-USME,21,0,3,6,2,5,2,3,"[[[-74.12063978499998, 4.505822291000015], [-74.12052156499999, 4.505823275000011], [-74.12051628799998, 4.505818612999974], [-74.12047533499998, 4.505796648999989], [-74.120425866, 4.505790854999986], [-74.12033100600001, 4.50584784199998], [-74.120152899, 4.505941477000021], [-74.12005255100001, 4.50599069499998], [-74.119941859, 4.506034969999973], [-74.11984122899997, 4.506100217999971], [-74.11976318699999, 4.506168929000011], [-74.119558633, 4.5059842460000255], [-74.11885469399999, 4.505368893000024], [-74.118620094, 4.5051815950000105], [-74.11907496999999, 4.504912409999974], [-74.119295298, 4.504801828999973], [-74.11989875900002, 4.505258491000006], [-74.12057870899997, 4.505734295000024], [-74.12063978499998, 4.505822291000015]]]"
MORALBA-SAN CRISTÓBAL,24,5,3,2,2,4,3,5,"[[[-74.076965691, 4.544331974999977], [-74.076789636, 4.544682265999995], [-74.076526801, 4.545237613999972], [-74.076486966, 4.545421402999977], [-74.07619226499997, 4.546108598999978], [-74.07508750300002, 4.5456789990000175], [-74.07521179600002, 4.545554294999988], [-74.07560526700001, 4.544465806000005], [-74.07582423500003, 4.54420217400002], [-74.076965691, 4.544331974999977]]]"
MORAVIA-FONTIBÓN,13,2,2,0,3,1,1,4,"[[[-74.15426384800003, 4.677780591999976], [-74.154516392, 4.6780054469999754], [-74.15502070600002, 4.6785899719999975], [-74.15511023599998, 4.678510172000017], [-74.15523671900002, 4.678395765000004], [-74.15546279699998, 4.678197957000009], [-74.155816061, 4.677884188999996], [-74.15590157899999, 4.67780841199999], [-74.15599476900002, 4.677748807999989], [-74.15590763099999, 4.6775675260000185], [-74.15613089300001, 4.6773733179999795], [-74.15621275199999, 4.677326214000004], [-74.15630671600002, 4.677326213000014], [-74.15640673299998, 4.677326213000014], [-74.15650062899999, 4.677373316], [-74.15660064600002, 4.677461591999986], [-74.156703833, 4.677608623000026], [-74.15685276900001, 4.677820908000001], [-74.15704112200001, 4.678040466000027], [-74.15702500399999, 4.678061793999972], [-74.156863612, 4.678390955999987], [-74.15687043999998, 4.678461434999974], [-74.156811457, 4.6786132710000174], [-74.15681427300001, 4.678734949999977], [-74.15559048099999, 4.679453237000018], [-74.15514198400001, 4.679825478999987], [-74.15450717200002, 4.67855734699998], [-74.15426384800003, 4.677780591999976]]]"
MUEQUETA-BARRIOS UNIDOS,35,6,6,5,6,2,6,4,"[[[-74.069728827, 4.6549126169999795], [-74.06974307399997, 4.654886508999993], [-74.06984029, 4.654340633000003], [-74.06998125000001, 4.6535924909999835], [-74.070117353, 4.652827289000015], [-74.07027290100001, 4.651932928999997], [-74.07038713499998, 4.651253019000023], [-74.07050579000003, 4.650634318000015], [-74.07242836299997, 4.6509619390000125], [-74.07245630800003, 4.650966701000015], [-74.072396954, 4.651345800000001], [-74.07226565000002, 4.652138956999976], [-74.07212204500001, 4.652929468000024], [-74.07198722300001, 4.653737610999996], [-74.07181431200001, 4.654672117000018], [-74.07166777600003, 4.65547144300001], [-74.071663672, 4.655495803999997], [-74.07155119800001, 4.655472588000009], [-74.07128630900002, 4.655424567000011], [-74.07117266799997, 4.655401803000017], [-74.07087406, 4.655356739000012], [-74.07044352600002, 4.655259709000006], [-74.07012135399998, 4.655212650999999], [-74.069728827, 4.6549126169999795]]]"
MULTIFAMILIARES CARIMAGUA-KENNEDY,4,1,1,1,1,0,0,0,"[[[-74.14744702399997, 4.613024326000015], [-74.14787652799998, 4.612727226000004], [-74.14825921900001, 4.612468879000005], [-74.14880692399998, 4.612090751999971], [-74.14933891300001, 4.611726791000023], [-74.14980556299997, 4.612405550000005], [-74.15008516500001, 4.61279198699998], [-74.15072694999998, 4.6137399579999965], [-74.150791089, 4.613834768000003], [-74.15083798400002, 4.61390408699998], [-74.14995936999998, 4.614624154000011], [-74.14923474199998, 4.615219059000025], [-74.14895242199998, 4.614874387999975], [-74.148641871, 4.614482501999987], [-74.14819016000001, 4.613930084999992], [-74.147573766, 4.613169918999972], [-74.14744702399997, 4.613024326000015]]]"
MULTIFAMILIARES LA PAZ-KENNEDY,1,0,0,0,1,0,0,0,"[[[-74.12528603599998, 4.636156503999984], [-74.12551977300001, 4.635553141000002], [-74.125614343, 4.635311908999995], [-74.12565064699999, 4.6352193010000065], [-74.12579186800002, 4.634862096999995], [-74.12598834200003, 4.634365133000017], [-74.12625436399998, 4.634503646999974], [-74.12616284199999, 4.634737379], [-74.12619873099999, 4.634759975999998], [-74.126910877, 4.635223212000028], [-74.12716918199999, 4.635381027999983], [-74.12773843299999, 4.635728819999997], [-74.128138138, 4.635974562000001], [-74.12859132400001, 4.636268319999999], [-74.12919932400001, 4.6366665880000255], [-74.12889168599997, 4.6369576299999835], [-74.12835769200001, 4.637448157999983], [-74.127885403, 4.637889276000009], [-74.12774300400002, 4.638026195999998], [-74.12737516300001, 4.63773745100002], [-74.12654158800001, 4.6371033990000114], [-74.12528603599998, 4.636156503999984]]]"
MURILLO TORO-RAFAEL URIBE,54,5,6,7,13,3,9,11,"[[[-74.11955794199997, 4.588969406999979], [-74.11710647199999, 4.588482144000011], [-74.11709159100002, 4.588341263000018], [-74.11701231299998, 4.5879593170000135], [-74.11678638400002, 4.586686166999982], [-74.11661197199999, 4.585906360000024], [-74.11654458800001, 4.585568178000016], [-74.11644549699997, 4.585011174999976], [-74.11618388900001, 4.583674366000025], [-74.11589054400002, 4.582727453000018], [-74.115847885, 4.582548395000003], [-74.11632380999998, 4.582378667999989], [-74.116884201, 4.58218492100002], [-74.11781566299999, 4.581858208000028], [-74.118417706, 4.58164926400002], [-74.11869860299998, 4.581550407000008], [-74.11875883800002, 4.582266862999972], [-74.11884006000003, 4.5827369209999915], [-74.118929434, 4.583370666999997], [-74.11901500300002, 4.584055952000028], [-74.11908345400002, 4.584704967999982], [-74.11915998299997, 4.585459687000025], [-74.11926218600001, 4.586368787000026], [-74.119381036, 4.587239710000005], [-74.11947134899998, 4.58819891600001], [-74.11955691499998, 4.588955306000002], [-74.11955794199997, 4.588969406999979]]]"
MUZU-TUNJUELITO,25,2,6,3,5,2,2,5,"[[[-74.14164292700002, 4.585532308999972], [-74.141657114, 4.585526797999989], [-74.141993829, 4.58539353499998], [-74.14190537100001, 4.585715650999986], [-74.14181674600002, 4.585979140000006], [-74.14198413899999, 4.586031839999975], [-74.14225656000002, 4.586338151999996], [-74.14236487199997, 4.586436962999982], [-74.14282437999998, 4.5868190310000045], [-74.14330029899997, 4.587194511000007], [-74.14300756400002, 4.5873633979999795], [-74.14258022199999, 4.587570982999977], [-74.14246577699998, 4.5876320439999745], [-74.142295429, 4.587176667999983], [-74.14203788700001, 4.586522667999986], [-74.141833738, 4.586029411000026], [-74.14174108499998, 4.5857914489999985], [-74.14164292700002, 4.585532308999972]]]"
NACIONES UNIDAS-CIUDAD BOLÍVAR,12,1,1,2,1,2,4,1,"[[[-74.14962396200002, 4.542449535000002], [-74.14892755800003, 4.542762239000012], [-74.14865593500002, 4.542960455000013], [-74.14866941399998, 4.542591662999996], [-74.14798323299999, 4.542565341999989], [-74.14795684500001, 4.542423887999973], [-74.14788386999999, 4.5422577179999735], [-74.147815611, 4.542047477999972], [-74.14780048099999, 4.541981801000019], [-74.14761090299999, 4.541464571999995], [-74.14759732200002, 4.541421988000024], [-74.14767817900002, 4.541387171999986], [-74.147861782, 4.5411760889999755], [-74.14806776, 4.541327572], [-74.14818872900003, 4.541416485000013], [-74.14852067200002, 4.541728630000022], [-74.14913565799998, 4.54100039299999], [-74.14918843700002, 4.541059078999978], [-74.149221582, 4.541045661999987], [-74.14936760299997, 4.5412554760000035], [-74.14944479899998, 4.54161190000002], [-74.149417776, 4.5416448799999785], [-74.14939948, 4.54167256300002], [-74.14915669499999, 4.541746148000015], [-74.14937203199997, 4.542113943000003], [-74.14962396200002, 4.542449535000002]]]"
NARIÑO SUR-SAN CRISTÓBAL,74,11,7,5,6,10,17,18,"[[[-74.08623136099999, 4.583004193000022], [-74.085783821, 4.582684015999973], [-74.085484114, 4.582470539999974], [-74.08497700999999, 4.582107070000006], [-74.08471766100001, 4.581918002000009], [-74.08487102999999, 4.581696104999991], [-74.08524556999998, 4.581174566000015], [-74.08559751299998, 4.5806335870000225], [-74.08579008599997, 4.580336131000024], [-74.08592362399997, 4.580129861999978], [-74.08620453499998, 4.579666626000005], [-74.08633045900001, 4.57948036099998], [-74.08665656800002, 4.578987973999971], [-74.08674051600002, 4.578866496999978], [-74.08691482400002, 4.579124061000015], [-74.08717467700001, 4.579451284000015], [-74.08756203600001, 4.579932398999972], [-74.087670522, 4.580069046999995], [-74.087660696, 4.580082190999974], [-74.08749295000001, 4.580308649000016], [-74.087533646, 4.580341448000012], [-74.087706906, 4.580478213999981], [-74.08763844999999, 4.580592680999984], [-74.08767174600001, 4.580623623999997], [-74.087643377, 4.5806570350000015], [-74.087564439, 4.580750463000015], [-74.087673575, 4.580853809000018], [-74.087730926, 4.580800598999985], [-74.08774634000002, 4.580819164999979], [-74.08783327600003, 4.580919414999982], [-74.08788260300003, 4.580962114999977], [-74.08817528899999, 4.5807000170000265], [-74.088189881, 4.580718058999991], [-74.08831579600002, 4.580622501999982], [-74.088541797, 4.580442725000011], [-74.088886253, 4.580121132999977], [-74.08914092600003, 4.580470635999972], [-74.08919076699999, 4.580538762999992], [-74.089084394, 4.580627477000007], [-74.08915884200002, 4.580712871000002], [-74.08945206200002, 4.581043455999974], [-74.08941907000002, 4.581065663000004], [-74.08945790199999, 4.581122658000026], [-74.08980589700002, 4.581627579999974], [-74.09000365700001, 4.5819123620000255], [-74.08989729500001, 4.582067360999985], [-74.08980859899998, 4.582021902000008], [-74.08963174000002, 4.5819397999999865], [-74.08942393199999, 4.581815543999994], [-74.08926033799997, 4.581720132999976], [-74.089054745, 4.581553724999992], [-74.088800515, 4.581351815000005], [-74.08843127199998, 4.581711184000028], [-74.08817921399998, 4.58194854300001], [-74.08802223100002, 4.5820949530000235], [-74.088193112, 4.582258093000007], [-74.087922956, 4.5826369709999994], [-74.08838778, 4.5831387840000275], [-74.08854561999999, 4.583308722000026], [-74.08888741300001, 4.582923810000011], [-74.089003762, 4.583035698999992], [-74.08913866799998, 4.583172880000006], [-74.088263369, 4.5844484159999865], [-74.08799778600002, 4.5842573639999955], [-74.08746742699998, 4.583890017999976], [-74.08690668499997, 4.583486631000028], [-74.08631279500003, 4.583062451999978], [-74.08623136099999, 4.583004193000022]]]"
NICOLAS DE FEDERMAN-TEUSAQUILLO,169,28,25,18,23,24,27,24,"[[[-74.08068632999999, 4.652437437999992], [-74.08073061699997, 4.651933767000002], [-74.080807289, 4.651169531999983], [-74.08087329900002, 4.650618771999973], [-74.08095632599998, 4.6501128439999775], [-74.08098400400002, 4.649922853000021], [-74.08096273500001, 4.649858807999976], [-74.08100957900001, 4.649495906000026], [-74.08103300099998, 4.649297375000003], [-74.081079869, 4.64869964799999], [-74.08111607900003, 4.648285509999993], [-74.08113312699999, 4.648029340999983], [-74.08115443600002, 4.647689916999979], [-74.08120337899999, 4.647600260999979], [-74.08120127299998, 4.647391056000003], [-74.08121408199997, 4.646959836000007], [-74.08122475599998, 4.646611871000004], [-74.08125458500001, 4.646180655000023], [-74.08127491599998, 4.645952882000017], [-74.08032587299999, 4.645885050999993], [-74.08035060600002, 4.645332092999979], [-74.07972548800001, 4.64528663599998], [-74.07940318599998, 4.645272422999994], [-74.07874995200001, 4.645217894999973], [-74.07880500099998, 4.644358554000007], [-74.07882746500002, 4.644055192999985], [-74.07893683700001, 4.642578156000013], [-74.07905983400002, 4.640878414999974], [-74.07941372699997, 4.641357896999977], [-74.07985349299997, 4.64172345999998], [-74.08058199599998, 4.642311929000015], [-74.080999555, 4.642632913999989], [-74.08127495100001, 4.642993999999987], [-74.08153703599999, 4.643199073999994], [-74.08167875599997, 4.643310305999989], [-74.08223000599997, 4.643742961999976], [-74.08334942599998, 4.644594460999997], [-74.08401574599998, 4.645124972000019], [-74.084229951, 4.6453221770000255], [-74.08455562400002, 4.645524610999984], [-74.08482246199998, 4.645729146999997], [-74.08511451200002, 4.645973744999992], [-74.085477992, 4.646346960000016], [-74.08573642200002, 4.646591553999996], [-74.086177653, 4.646916283999985], [-74.08586901000001, 4.647690061999981], [-74.08541008100002, 4.648873819000016], [-74.08498861700002, 4.649932309999997], [-74.08472012700003, 4.650621268000009], [-74.08452656899999, 4.65107535200002], [-74.08447692599998, 4.651195449999988], [-74.08420813100003, 4.65184573099998], [-74.08379291799997, 4.652778952000005], [-74.08353761199999, 4.653299694999987], [-74.083146639, 4.65312740500002], [-74.082649333, 4.652908218999982], [-74.08220600499999, 4.652760790000002], [-74.081397745, 4.652585710999972], [-74.08068632999999, 4.652437437999992]]]"
NICOLAS ESCOBAR-BOSA,1,0,0,1,0,0,0,0,"[[[-74.17735762500001, 4.59690046899999], [-74.17869840200001, 4.596979617999977], [-74.179185802, 4.596961583999984], [-74.17932607099999, 4.597414383999989], [-74.17929157999998, 4.597552849999999], [-74.17929849299998, 4.597961318999978], [-74.17931261400003, 4.597998831999973], [-74.17951287099999, 4.598387167999987], [-74.17979207399998, 4.5989068800000155], [-74.17979297699998, 4.5989084729999945], [-74.17953871999998, 4.598998843000003], [-74.179070233, 4.599110359999997], [-74.17855369400002, 4.599224891999995], [-74.177814431, 4.59938895099998], [-74.17763793, 4.598897474000011], [-74.177530413, 4.598515013999986], [-74.177465241, 4.5979560299999775], [-74.17742939800002, 4.597701055000015], [-74.17737726000001, 4.597240139000007], [-74.17735762500001, 4.59690046899999]]]"
NIZA NORTE-SUBA,141,10,24,19,19,22,16,31,"[[[-74.07548203200002, 4.71897065600001], [-74.07537001100002, 4.718886344999987], [-74.07519860399998, 4.718757337999989], [-74.075622119, 4.717995959999996], [-74.07382793099998, 4.717048293000004], [-74.07346253499998, 4.71687654599998], [-74.07345434799998, 4.716843415000028], [-74.073349167, 4.716404637999971], [-74.07325242600001, 4.716012895000005], [-74.073192904, 4.715773838000018], [-74.073138605, 4.715589829999999], [-74.07361415100002, 4.715784767999991], [-74.07427632399998, 4.716058411999995], [-74.07477581799998, 4.716260770000019], [-74.07560754399998, 4.716612592999979], [-74.075733592, 4.716408005999994], [-74.07585735999999, 4.716102267999986], [-74.075930707, 4.715888479999989], [-74.07601093400001, 4.715628714999979], [-74.07613011900003, 4.715313779999974], [-74.07620346599998, 4.715106889000026], [-74.07618055400002, 4.715090793999991], [-74.07568334400003, 4.714950507000025], [-74.07469121399998, 4.71469521900002], [-74.073359971, 4.71436862500002], [-74.07292691599997, 4.714272021999988], [-74.07284054299998, 4.714259240999979], [-74.07280989700001, 4.714105668999991], [-74.07275551100003, 4.713886597999987], [-74.07271203099998, 4.713710466000009], [-74.07265869899999, 4.713508273000002], [-74.07261071300002, 4.713340049999999], [-74.07256393099999, 4.713112292999994], [-74.07253990700002, 4.7129750299999955], [-74.07368069900002, 4.712757608999993], [-74.07421411799999, 4.712770648000002], [-74.07456689899999, 4.712808858000016], [-74.07476749699998, 4.712857461999988], [-74.07486438400002, 4.712465356999985], [-74.07521370199999, 4.712541738000027], [-74.07524138299999, 4.7124376389999725], [-74.07554573800002, 4.712517483999988], [-74.075597641, 4.71230234799998], [-74.07618908799998, 4.712187901999982], [-74.07685313399998, 4.712364947000025], [-74.076953473, 4.712024894000023], [-74.07755526300002, 4.712205401999995], [-74.07797721100002, 4.712299140000027], [-74.078270922, 4.711851968000019], [-74.078676013, 4.711879378999981], [-74.07850760100001, 4.711960685000008], [-74.078425493, 4.7121063939999885], [-74.07796126800002, 4.7129172960000005], [-74.07757598500001, 4.713645844999973], [-74.07744333699998, 4.713994286000001], [-74.07733280100001, 4.714244528999984], [-74.07700753, 4.714770346000023], [-74.07674225800002, 4.715220140999974], [-74.07666014300003, 4.715422869999997], [-74.07654012900002, 4.7157206279999855], [-74.07635693600002, 4.71629397700002], [-74.076284295, 4.716477700999973], [-74.07619094799998, 4.716645098000015], [-74.07610916200002, 4.71683649900001], [-74.076111357, 4.716846637000003], [-74.076128143, 4.716924144000017], [-74.07586978799998, 4.717663370000025], [-74.07585178699998, 4.717708055999992], [-74.075717822, 4.718040599999994], [-74.07555281200001, 4.719021954000027], [-74.07548203200002, 4.71897065600001]]]"
